LOCALIDADE;CEP INICIAL
BARRO ALTO;76390000
BELA VISTA DE GOIÁS;75240000
BOM JARDIM DE GOIÁS;76245000
BOM JESUS;75570000
BONFINÓPOLIS;75195000
BONÓPOLIS;76555000
BRAZABRANTES;75440000
BRITÂNIA;76280000
BURITI ALEGRE;75660000
BURITI DE GOIÁS;76152000
BURITINÓPOLIS;73975000
CABECEIRAS;73870000
CACHOEIRA ALTA;75870000
CACHOEIRA DE GOIÁS;76125000
CACHOEIRA DOURADA;75560000
CAÇU;75813000
CAIAPÔNIA;75850000
CALDAS NOVAS;75690000
CALDAZINHA;75245000
CAMPESTRE DE GOIÁS;75396000
CAMPINAÇU;76440000
CAMPINORTE;76410000
CAMPO ALEGRE DE GOIÁS;75795000
CAMPO LIMPO DE GOIÁS;75160000
CAMPOS BELOS;73840000
CAMPOS VERDES;76515000
CARMO DO RIO VERDE;76340000
CASTELÂNDIA;75925000
CATALÃO;75700001
CATURAÍ;75430000
CAVALCANTE;73790000
CERES;76300000
CEZARINA;76195000
CHAPADÃO DO CÉU;75828000
CIDADE OCIDENTAL;72880001
COCALZINHO DE GOIÁS;72975000
COLINAS DO SUL;73740000
CÓRREGO DO OURO;76145000
CORUMBÁ DE GOIÁS;72960000
CORUMBAÍBA;75680000
CRISTALINA;73850000
CRISTIANÓPOLIS;75230000
CRIXÁS;76510000
CROMÍNIA;75635000
CUMARI;75760000
DAMIANÓPOLIS;73980000
DAMOLÂNDIA;75420000
DAVINÓPOLIS;75730000
DIORAMA;76260000
DIVINÓPOLIS DE GOIÁS;73865000
DOVERLÂNDIA;75855000
EDEALINA;75945000
EDÉIA;75940000
ESTRELA DO NORTE;76485000
FAINA;76740000
FAZENDA NOVA;76220000
FIRMINÓPOLIS;76105000
FLORES DE GOIÁS;73890000
FORMOSA;73800001
FORMOSO;76470000
GAMELEIRA DE GOIÁS;75184000
GOIANÁPOLIS;75170000
GOIANDIRA;75740000
GOIANÉSIA;76380001
GOIÂNIA;74000001
GOIANIRA;75370000
GOIÁS;76600000
